Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
140,QuickSortGPT,double,1000,worstCase,1,3.75
141,QuickSortGPT,double,1000,averageCase,1,0.39
142,QuickSortGPT,double,10000,bestCase,1,278.91
143,QuickSortGPT,double,10000,worstCase,1,251.04
144,QuickSortGPT,double,10000,averageCase,1,1.61
145,QuickSortGPT,char,100,bestCase,1,0.01
146,QuickSortGPT,char,100,worstCase,1,0.01
147,QuickSortGPT,char,100,averageCase,1,0.01
148,QuickSortGPT,char,1000,bestCase,1,0.16
149,QuickSortGPT,char,1000,worstCase,1,0.13
150,QuickSortGPT,char,1000,averageCase,1,0.16
151,QuickSortGPT,char,10000,bestCase,1,19.43
152,QuickSortGPT,char,10000,worstCase,1,11.89
153,QuickSortGPT,char,10000,averageCase,1,13.76
154,QuickSortGPT,string,100,bestCase,1,0.01
155,QuickSortGPT,string,100,worstCase,1,0.01
156,QuickSortGPT,string,100,averageCase,1,0.01
157,QuickSortGPT,string,1000,bestCase,1,0.15
158,QuickSortGPT,string,1000,worstCase,1,0.15
159,QuickSortGPT,string,1000,averageCase,1,0.24
160,QuickSortGPT,string,10000,bestCase,1,13.99
161,QuickSortGPT,string,10000,worstCase,1,17.66
162,QuickSortGPT,string,10000,averageCase,1,17.70
163,SelectionSortGPT,int,100,bestCase,1,0.30
164,SelectionSortGPT,int,100,worstCase,1,0.23
165,SelectionSortGPT,int,100,averageCase,1,0.20
166,SelectionSortGPT,int,1000,bestCase,1,4.48
167,SelectionSortGPT,int,1000,worstCase,1,1.66
168,SelectionSortGPT,int,1000,averageCase,1,1.81
169,SelectionSortGPT,int,10000,bestCase,1,31.45
170,SelectionSortGPT,int,10000,worstCase,1,72.20
171,SelectionSortGPT,int,10000,averageCase,1,60.65
172,SelectionSortGPT,long,100,bestCase,1,0.27
173,SelectionSortGPT,long,100,worstCase,1,0.15
174,SelectionSortGPT,long,100,averageCase,1,0.13
175,SelectionSortGPT,long,1000,bestCase,1,3.59
176,SelectionSortGPT,long,1000,worstCase,1,2.12
177,SelectionSortGPT,long,1000,averageCase,1,2.86
178,SelectionSortGPT,long,10000,bestCase,1,81.12
179,SelectionSortGPT,long,10000,worstCase,1,109.26
180,SelectionSortGPT,long,10000,averageCase,1,130.31
181,SelectionSortGPT,float,100,bestCase,1,0.22
182,SelectionSortGPT,float,100,worstCase,1,0.15
183,SelectionSortGPT,float,100,averageCase,1,0.09
184,SelectionSortGPT,float,1000,bestCase,1,2.12
185,SelectionSortGPT,float,1000,worstCase,1,3.14
186,SelectionSortGPT,float,1000,averageCase,1,2.18
