Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time,Source
5,BubbleSortUntilNoChange,int,1000,worstCase,59,1.79,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,60,1.72,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,61,1.75,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,62,1.76,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,63,1.73,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,64,1.72,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,65,1.72,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,66,1.7,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,67,1.73,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,68,1.7,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,69,1.72,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,70,1.7,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,71,1.7,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,72,1.7,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,73,1.79,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,74,1.82,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,75,1.8,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,76,1.82,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,77,1.75,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,78,1.77,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,79,1.82,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,80,1.74,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,81,1.75,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,82,1.79,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,83,1.77,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,84,1.8,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,85,1.74,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,86,1.79,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,87,1.72,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,88,1.75,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,89,1.8,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,90,1.82,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,91,1.81,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,92,1.82,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,93,1.77,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,94,1.73,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,95,1.77,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,96,1.83,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,97,1.71,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,98,1.72,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,99,1.68,Mac
5,BubbleSortUntilNoChange,int,1000,worstCase,100,1.69,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,1,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,2,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,3,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,4,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,5,1.2,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,6,1.27,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,7,1.29,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,8,1.27,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,9,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,10,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,11,1.31,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,12,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,13,1.26,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,14,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,15,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,16,1.22,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,17,1.23,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,18,1.27,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,19,1.24,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,20,1.4,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,21,1.38,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,22,1.32,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,23,1.31,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,24,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,25,1.28,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,26,1.32,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,27,1.36,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,28,1.3,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,29,1.37,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,30,1.42,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,31,1.33,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,32,1.33,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,33,1.34,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,34,1.31,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,35,1.35,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,36,1.31,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,37,1.31,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,38,1.35,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,39,1.43,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,40,1.38,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,41,1.4,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,42,1.33,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,43,1.36,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,44,1.38,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,45,1.29,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,46,1.34,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,47,1.36,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,48,1.3,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,49,1.35,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,50,1.33,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,51,1.31,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,52,1.37,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,53,1.34,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,54,1.32,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,55,1.34,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,56,1.34,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,57,1.31,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,58,2.92,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,59,1.82,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,60,2.62,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,61,1.74,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,62,1.7,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,63,1.36,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,64,1.46,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,65,1.4,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,66,1.38,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,67,1.31,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,68,1.34,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,69,1.32,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,70,1.34,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,71,1.36,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,72,1.32,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,73,1.35,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,74,1.31,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,75,1.37,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,76,1.55,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,77,1.41,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,78,7.68,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,79,1.36,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,80,1.35,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,81,1.39,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,82,1.36,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,83,1.38,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,84,1.34,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,85,1.36,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,86,1.3,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,87,1.39,Mac
6,BubbleSortUntilNoChange,int,1000,averageCase,88,1.37,Mac
