Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
2,BubbleSortUntilNoChange,int,100,worstCase,86,0.33
2,BubbleSortUntilNoChange,int,100,worstCase,87,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,88,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,89,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,90,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,91,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,92,0.39
2,BubbleSortUntilNoChange,int,100,worstCase,93,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,94,0.35
2,BubbleSortUntilNoChange,int,100,worstCase,95,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,96,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,97,0.35
2,BubbleSortUntilNoChange,int,100,worstCase,98,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,99,0.34
2,BubbleSortUntilNoChange,int,100,worstCase,100,0.38
3,BubbleSortUntilNoChange,int,100,averageCase,1,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,2,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,3,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,4,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,5,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,6,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,7,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,8,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,9,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,10,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,11,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,12,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,13,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,14,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,15,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,16,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,17,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,18,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,19,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,20,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,21,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,22,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,23,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,24,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,25,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,26,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,27,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,28,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,29,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,30,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,31,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,32,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,33,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,34,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,35,0.02
